DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB01069	P08183	HGNC:40	ABCB1	CID000004927	CHEMBL1200750|CHEMBL643	5243	ABCB1
DB01072	P08183	HGNC:40	ABCB1	CID000148192	CHEMBL1163|CHEMBL1200678	5243	ABCB1
DB01076	P08183	HGNC:40	ABCB1	CID000060822	CHEMBL1487|CHEMBL1790017|CHEMBL393220	5243	ABCB1
DB01086	P08183	HGNC:40	ABCB1	CID000002337	CHEMBL278172	5243	ABCB1
DB01100	P08183	HGNC:40	ABCB1	CID000016362	CHEMBL1423	5243	ABCB1
DB01103	P08183	HGNC:40	ABCB1	CID000000237	CHEMBL2105615|CHEMBL546257|CHEMBL554190|CHEMBL7568	5243	ABCB1
DB01104	P08183	HGNC:40	ABCB1	CID000063009	CHEMBL1709|CHEMBL809	5243	ABCB1
DB01110	P08183	HGNC:40	ABCB1	CID000004189	CHEMBL1559|CHEMBL91	5243	ABCB1
DB01115	P08183	HGNC:40	ABCB1	CID000004485	CHEMBL193	5243	ABCB1
DB01118	P08183	HGNC:40	ABCB1	CID000002156	CHEMBL1083993|CHEMBL633	5243	ABCB1
DB01136	P08183	HGNC:40	ABCB1	CID000002585	CHEMBL1201167|CHEMBL723	5243	ABCB1
DB01137	P08183	HGNC:40	ABCB1	CID000149096	CHEMBL33	5243	ABCB1
DB01138	P08183	HGNC:40	ABCB1	CID000005342	CHEMBL832	5243	ABCB1
DB01142	P08183	HGNC:40	ABCB1	CID000667477		5243	ABCB1
DB01149	P08183	HGNC:40	ABCB1	CID000004449	CHEMBL1200492|CHEMBL623	5243	ABCB1
DB01151	P08183	HGNC:40	ABCB1	CID000002995	CHEMBL1696|CHEMBL72	5243	ABCB1
DB01162	P08183	HGNC:40	ABCB1	CID000005401	CHEMBL1201091|CHEMBL1256665|CHEMBL611	5243	ABCB1
DB01167	P08183	HGNC:40	ABCB1	CID000055283	CHEMBL22587	5243	ABCB1
DB01169	P08183	HGNC:40	ABCB1	CID000518740		5243	ABCB1
DB01174	P08183	HGNC:40	ABCB1	CID000004763	CHEMBL149972|CHEMBL40|CHEMBL545356	5243	ABCB1
DB01182	P08183	HGNC:40	ABCB1	CID000004932	CHEMBL1201063|CHEMBL631	5243	ABCB1
DB01183	P08183	HGNC:40	ABCB1	CID005284596	CHEMBL1718|CHEMBL80	5243	ABCB1
DB01184	P08183	HGNC:40	ABCB1	CID000003151	CHEMBL219916	5243	ABCB1
DB01193	P08183	HGNC:40	ABCB1	CID000001978	CHEMBL1200813|CHEMBL642	5243	ABCB1
DB01196	P08183	HGNC:40	ABCB1	CID000018140		5243	ABCB1
DB01197	P08183	HGNC:40	ABCB1	CID000044093	CHEMBL1560	5243	ABCB1
DB01200	P08183	HGNC:40	ABCB1	CID000031100	CHEMBL1200503|CHEMBL1255752|CHEMBL493	5243	ABCB1
DB01202	P08183	HGNC:40	ABCB1	CID000441341	CHEMBL150361	5243	ABCB1
DB01203	P08183	HGNC:40	ABCB1	CID000039147	CHEMBL649	5243	ABCB1
DB01204	P08183	HGNC:40	ABCB1	CID000004212	CHEMBL1200827|CHEMBL1417019|CHEMBL58	5243	ABCB1
DB01208	P08183	HGNC:40	ABCB1	CID000060464	CHEMBL850	5243	ABCB1
DB01211	P08183	HGNC:40	ABCB1	CID017753750		5243	ABCB1
DB01221	P08183	HGNC:40	ABCB1	CID000003821	CHEMBL1714|CHEMBL742	5243	ABCB1
DB01224	P08183	HGNC:40	ABCB1	CID000005002	CHEMBL1200911|CHEMBL716	5243	ABCB1
DB01229	P08183	HGNC:40	ABCB1	CID000036314	CHEMBL428647	5243	ABCB1
